canonical_id,primary_alias,aliases,asset_family,subfamily,implementation_type,base,quote,country_or_region,venue_or_provider,benchmark,timezone,adapter_id,coverage_status,data_requirement,metadata_valid_from,metadata_valid_to,active
CMD.OILSEED.SOYMEAL,Soybean Meal,Soy Meal|ZM,COMMODITY,oilseeds,future,,,global/regional,CBOT,ZM,America/Chicago,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.OILSEED.PALM,Palm Oil,Palm Oil|FCPO,COMMODITY,oilseeds,future,,,global/regional,Bursa Malaysia,FCPO,Asia/Kuala_Lumpur,COMMODITY_AGRI,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.COCOA_NY,NY Cocoa,Cocoa|CC,COMMODITY,softs,future,,,global/regional,ICE US,CC,America/New_York,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.COCOA_LDN,London Cocoa,London Cocoa,COMMODITY,softs,future,,,global/regional,ICE Europe,C,Europe/London,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.COFFEE,Arabica Coffee,Coffee|KC,COMMODITY,softs,future,,,global/regional,ICE US,KC,America/New_York,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.SUGAR,Raw Sugar,Sugar|SB,COMMODITY,softs,future,,,global/regional,ICE US,SB,America/New_York,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.COTTON,Cotton,Cotton|CT,COMMODITY,softs,future,,,global/regional,ICE US,CT,America/New_York,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.SOFT.OJ,Orange Juice,Orange Juice|OJ,COMMODITY,softs,future,,,global/regional,ICE US,OJ,America/New_York,COMMODITY_SOFTS,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.LIVESTOCK.CATTLE,Live Cattle,Live Cattle|LE,COMMODITY,livestock,future,,,global/regional,CME,LE,America/Chicago,COMMODITY_OTHER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.LIVESTOCK.HOGS,Lean Hogs,Lean Hogs|HE,COMMODITY,livestock,future,,,global/regional,CME,HE,America/Chicago,COMMODITY_OTHER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.FORESTRY.LUMBER,Lumber,Lumber|LBR,COMMODITY,forestry,future,,,global/regional,CME,LBR,America/Chicago,COMMODITY_OTHER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
CMD.RUBBER.TOCOM,TOCOM Rubber,Rubber|RSS3,COMMODITY,rubber,future,,,global/regional,JPX,RSS3,Asia/Tokyo,COMMODITY_OTHER,TEMPLATE_SUPPORTED,physical+curve+market data,2026-08-06,,true
IDX.EQ.US.SPX,S&P 500,SPX|US500,INDEX,broad_equity,cash_index,,,global/country,S&P DJI,SPX,America/New_York,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.US.NDX,Nasdaq-100,NDX|US100,INDEX,large_cap_growth,cash_index,,,global/country,Nasdaq,NDX,America/New_York,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.US.DJI,Dow Jones Industrial Average,DJI|US30,INDEX,price_weighted,cash_index,,,global/country,S&P DJI,DJI,America/New_York,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.US.RUT,Russell 2000,RUT,INDEX,small_cap,cash_index,,,global/country,FTSE Russell,RUT,America/New_York,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.EU.STOXX50,EURO STOXX 50,SX5E,INDEX,regional_equity,cash_index,,,global/country,STOXX,SX5E,Europe/Berlin,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.DE.DAX,DAX,DAX|GER40,INDEX,country_equity,cash_index,,,global/country,STOXX,DAX,Europe/Berlin,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.FR.CAC40,CAC 40,CAC40|PX1,INDEX,country_equity,cash_index,,,global/country,Euronext,PX1,Europe/Paris,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.UK.FTSE100,FTSE 100,FTSE100|UKX,INDEX,country_equity,cash_index,,,global/country,FTSE Russell,UKX,Europe/London,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.CH.SMI,SMI,SMI,INDEX,country_equity,cash_index,,,global/country,SIX,SMI,Europe/Zurich,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.JP.NIKKEI,Nikkei 225,Nikkei|NKY,INDEX,price_weighted,cash_index,,,global/country,Nikkei,NKY,Asia/Tokyo,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.JP.TOPIX,TOPIX,TOPIX|TPX,INDEX,country_equity,cash_index,,,global/country,JPX,TPX,Asia/Tokyo,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.HK.HSI,Hang Seng Index,HSI,INDEX,country_equity,cash_index,,,global/country,Hang Seng Indexes,HSI,Asia/Hong_Kong,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.HK.HSCEI,Hang Seng China Enterprises,HSCEI,INDEX,country_equity,cash_index,,,global/country,Hang Seng Indexes,HSCEI,Asia/Hong_Kong,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.CN.CSI300,CSI 300,CSI300,INDEX,country_equity,cash_index,,,global/country,CSI,CSI300,Asia/Shanghai,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.KR.KOSPI,KOSPI,KOSPI,INDEX,country_equity,cash_index,,,global/country,KRX,KOSPI,Asia/Seoul,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.IN.NIFTY50,NIFTY 50,NIFTY,INDEX,country_equity,cash_index,,,global/country,NSE Indices,NIFTY,Asia/Kolkata,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.AU.ASX200,S&P/ASX 200,ASX200|AS51,INDEX,country_equity,cash_index,,,global/country,S&P/ASX,AS51,Australia/Sydney,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.CA.TSX,S&P/TSX Composite,TSX|SPTSX,INDEX,country_equity,cash_index,,,global/country,S&P/TSX,SPTSX,America/Toronto,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.BR.IBOV,Ibovespa,IBOV,INDEX,country_equity,cash_index,,,global/country,B3,IBOV,America/Sao_Paulo,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.GLOBAL.MSCIWORLD,MSCI World,MSCI World,INDEX,global_equity,cash_index,,,global/country,MSCI,WORLD,UTC,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.EQ.EM.MSCIEM,MSCI Emerging Markets,MSCI EM,INDEX,regional_equity,cash_index,,,global/country,MSCI,MXEF,UTC,INDEX_EQUITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.VOL.US.VIX,Cboe Volatility Index,VIX,INDEX,volatility,cash_index,,,global/country,Cboe,VIX,America/Chicago,INDEX_VOLATILITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.VOL.EU.VSTOXX,EURO STOXX Volatility,VSTOXX|V2X,INDEX,volatility,cash_index,,,global/country,STOXX,V2X,Europe/Berlin,INDEX_VOLATILITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.RATES.US.AGG,US Aggregate Bond Index,US Agg,INDEX,bond_index,cash_index,,,global/country,Bloomberg,LBUSTRUU,America/New_York,INDEX_RATES,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.RATES.GLOBAL.AGG,Global Aggregate Bond Index,Global Agg,INDEX,bond_index,cash_index,,,global/country,Bloomberg,LEGATRUU,UTC,INDEX_RATES,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.CREDIT.US.HY,US High Yield Index,US HY,INDEX,credit_index,cash_index,,,global/country,ICE BofA,H0A0,America/New_York,INDEX_CREDIT,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.FX.DXY,US Dollar Index,DXY,INDEX,fx_basket,cash_index,,,global/country,ICE,DXY,America/New_York,INDEX_FX,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.CMD.BCOM,Bloomberg Commodity Index,BCOM,INDEX,commodity_index,cash_index,,,global/country,Bloomberg,BCOM,America/New_York,INDEX_COMMODITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
IDX.CMD.GSCI,S&P GSCI,GSCI,INDEX,commodity_index,cash_index,,,global/country,S&P DJI,GSCI,America/New_York,INDEX_COMMODITY,TEMPLATE_SUPPORTED,methodology+constituents+market data,2026-08-06,,true
